Region: us-phoenix-1
SERVICE            LIMIT                                                SCOPE                       MAX         USED    USED%
big-data           bm-dense-io-e4-128-ocpu-count                        REGION                        0            0      N/A
big-data           bm-hpc2-36-ocpu-count                                REGION                        0            0      N/A
big-data           bm-optimized3-36-memory-gb-size                      REGION                        0            0      N/A
big-data           bm-optimized3-36-ocpu-count                          REGION                        0            0      N/A
big-data           bm-standard-2-52-ocpu-count                          REGION                        0            0      N/A
big-data           bm-standard-e4-128-memory-gb-size                    REGION                        0            0      N/A
big-data           bm-standard-e4-128-ocpu-count                        REGION                        0            0      N/A
big-data           bm-standard-e5-192-memory-gb-size                    REGION                        0            0      N/A
big-data           bm-standard-e5-192-ocpu-count                        REGION                        0            0      N/A
big-data           bm-standard3-64-memory-gb-size                       REGION                        0            0      N/A
big-data           bm-standard3-64-ocpu-count                           REGION                        0            0      N/A
big-data           vm-dense-io-2-16-ocpu-count                          REGION                        0            0      N/A
big-data           vm-dense-io-2-24-ocpu-count                          REGION                        0            0      N/A
big-data           vm-dense-io-2-8-ocpu-count                           REGION                        0            0      N/A
big-data           vm-dense-io-e4-flex-memory-gb-size                   REGION                        0            0      N/A
big-data           vm-dense-io-e4-flex-nvme-count                       REGION                        0            0      N/A
big-data           vm-dense-io-e4-flex-ocpu-count                       REGION                        0            0      N/A
big-data           vm-dense-io-e5-flex-memory-gb-size                   REGION                        0            0      N/A
big-data           vm-dense-io-e5-flex-ocpu-count                       REGION                        0            0      N/A
big-data           vm-optimized3-flex-memory-gb-size                    REGION                    5,120            0     0.0%
big-data           vm-optimized3-flex-ocpu-count                        REGION                      320            0     0.0%
big-data           vm-standard-2-1-ocpu-count                           REGION                        0            0      N/A
big-data           vm-standard-2-16-ocpu-count                          REGION                       32            0     0.0%
big-data           vm-standard-2-2-ocpu-count                           REGION                        0            0      N/A
big-data           vm-standard-2-24-ocpu-count                          REGION                       48            0     0.0%
big-data           vm-standard-2-4-ocpu-count                           REGION                        0            0      N/A
big-data           vm-standard-2-8-ocpu-count                           REGION                       32            0     0.0%
big-data           vm-standard-e3-flex-memory-gb-size                   REGION                        0            0      N/A
big-data           vm-standard-e3-flex-ocpu-count                       REGION                        0            0      N/A
big-data           vm-standard-e4-flex-memory-gb-size                   REGION                    5,120            0     0.0%
big-data           vm-standard-e4-flex-ocpu-count                       REGION                      320            0     0.0%
big-data           vm-standard-e5-flex-memory-gb-size                   REGION                        0            0      N/A
big-data           vm-standard-e5-flex-ocpu-count                       REGION                        0            0      N/A
big-data           vm-standard3-flex-memory-gb-size                     REGION                    5,120            0     0.0%
big-data           vm-standard3-flex-ocpu-count                         REGION                      320            0     0.0%
block-storage      backup-count                                         REGION                  100,000           99     0.1%
block-storage      free-backup-count                                    REGION                        0            0      N/A
block-storage      total-free-storage-gb                                ZyrR:PHX-AD-1               200            0     0.0%
block-storage      total-free-storage-gb                                ZyrR:PHX-AD-2               200            0     0.0%
block-storage      total-free-storage-gb                                ZyrR:PHX-AD-3               200            0     0.0%
block-storage      total-free-storage-gb-regional                       REGION                        0            0      N/A
block-storage      total-replica-storage-gb                             ZyrR:PHX-AD-1           256,000          194     0.1%
block-storage      total-replica-storage-gb                             ZyrR:PHX-AD-2           256,000            0     0.0%
block-storage      total-replica-storage-gb                             ZyrR:PHX-AD-3           256,000            0     0.0%
block-storage      total-storage-gb                                     ZyrR:PHX-AD-1           500,000        3,209     0.6%
block-storage      total-storage-gb                                     ZyrR:PHX-AD-2           500,000           94     0.0%
block-storage      total-storage-gb                                     ZyrR:PHX-AD-3           500,000           47     0.0%
block-storage      volume-count                                         ZyrR:PHX-AD-1           100,000            4     0.0%
block-storage      volume-count                                         ZyrR:PHX-AD-2           100,000            0     0.0%
block-storage      volume-count                                         ZyrR:PHX-AD-3           100,000            0     0.0%
block-storage      volumes-per-group                                    ZyrR:PHX-AD-1                32            0     0.0%
block-storage      volumes-per-group                                    ZyrR:PHX-AD-2                32            0     0.0%
block-storage      volumes-per-group                                    ZyrR:PHX-AD-3                32            0     0.0%
blockchain         platform-count                                       REGION                      100            0     0.0%
ccatc              ccatc-infrastructure-count                           REGION                       24          N/A      N/A
ccatc              ccatc-upgrade-schedule-count                         REGION                       48          N/A      N/A
cds                pipeline-count                                       REGION                        0            0      N/A
certificates       associations-per-certificates-resource-count         REGION                       30            0     0.0%
certificates       ca-bundles-count                                     REGION                       25            0     0.0%
certificates       certificate-authorities-count                        REGION                      100            0     0.0%
certificates       certificates-count                                   REGION                    5,000            0     0.0%
certificates       versions-per-certificates-resource-count             REGION                       30            0     0.0%
certificates       versions-scheduled-deletion-per-certificates-reso... REGION                       30            0     0.0%
cloud-bridge       asset-count                                          REGION                   10,000            0     0.0%
cloud-bridge       asset-source-count                                   REGION                       20            0     0.0%
cloud-bridge       discovery-schedule-count                             REGION                        6            0     0.0%
cloud-bridge       relation-count                                       REGION                  100,000            0     0.0%
cloud-shell        active-users                                         GLOBAL                      300            1     0.3%
cloud-shell        usage-hours                                          GLOBAL                    2,000            2     0.1%
cloud-shell        user-volumes                                         GLOBAL                    2,000            2     0.1%
cloudguard         adhoc-query-count                                    REGION                      100            0     0.0%
cloudguard         data-mask-rule-count                                 GLOBAL                        5            0     0.0%
cloudguard         data-source-count                                    REGION                       15            0     0.0%
cloudguard         detector-recipe-count                                GLOBAL                       30            0     0.0%
cloudguard         managed-list-count                                   GLOBAL                       25            0     0.0%
cloudguard         responder-recipe-count                               GLOBAL                        5            0     0.0%
cloudguard         saved-query-count                                    REGION                      100            0     0.0%
cloudguard         scheduled-query-count                                REGION                       25            0     0.0%
cloudguard         security-policy-count                                REGION                      200            0     0.0%
cloudguard         security-recipe-count                                REGION                      200            0     0.0%
cloudguard         security-zone-count                                  REGION                      200            0     0.0%
cloudguard         target-count                                         GLOBAL                       30            0     0.0%
cluster-placeme... cluster-placement-group-count                        ZyrR:PHX-AD-1                10            1    10.0%
cluster-placeme... cluster-placement-group-count                        ZyrR:PHX-AD-2                10            0     0.0%
cluster-placeme... cluster-placement-group-count                        ZyrR:PHX-AD-3                10            0     0.0%
compartments       compartment-count                                    REGION                    1,000            8     0.8%
compute            bigdata-e5t-core-count                               ZyrR:PHX-AD-1                 0            0      N/A
compute            bigdata-e5t-core-count                               ZyrR:PHX-AD-2                 0            0      N/A
compute            bigdata-e5t-core-count                               ZyrR:PHX-AD-3                 0            0      N/A
compute            bigdata-e6t-core-count                               ZyrR:PHX-AD-1                 0            0      N/A
compute            bigdata-e6t-core-count                               ZyrR:PHX-AD-2                 0            0      N/A
compute            bigdata-e6t-core-count                               ZyrR:PHX-AD-3                 0            0      N/A
compute            bm-dense-io1-36-count                                ZyrR:PHX-AD-1                 0            0      N/A
compute            bm-dense-io1-36-count                                ZyrR:PHX-AD-2                 0            0      N/A
compute            bm-dense-io1-36-count                                ZyrR:PHX-AD-3                 0            0      N/A
compute            bm-dense-io2-52-count                                ZyrR:PHX-AD-1                38            0     0.0%
compute            bm-dense-io2-52-count                                ZyrR:PHX-AD-2                38            0     0.0%
compute            bm-dense-io2-52-count                                ZyrR:PHX-AD-3                38            0     0.0%
compute            bm-gpu2-2-count                                      ZyrR:PHX-AD-1                 0            0      N/A
compute            bm-gpu2-2-count                                      ZyrR:PHX-AD-2                 0            0      N/A
compute            bm-gpu2-2-count                                      ZyrR:PHX-AD-3                 0            0      N/A
compute            bm-gpu3-8-count                                      ZyrR:PHX-AD-1                 0            0      N/A
compute            bm-gpu3-8-count                                      ZyrR:PHX-AD-2                 0            0      N/A
compute            bm-gpu3-8-count                                      ZyrR:PHX-AD-3                 0            0      N/A
compute            bm-hpc2-36-count                                     ZyrR:PHX-AD-1                41            0     0.0%
compute            bm-hpc2-36-count                                     ZyrR:PHX-AD-2                41            0     0.0%
compute            bm-hpc2-36-count                                     ZyrR:PHX-AD-3                 0            0      N/A
compute            bm-standard-b1-44-count                              ZyrR:PHX-AD-1                 5            0     0.0%
compute            bm-standard-b1-44-count                              ZyrR:PHX-AD-2                 5            0     0.0%
compute            bm-standard-b1-44-count                              ZyrR:PHX-AD-3                 5            0     0.0%
compute            bm-standard-e2-64-count                              ZyrR:PHX-AD-1                31            0     0.0%
compute            bm-standard-e2-64-count                              ZyrR:PHX-AD-2                31            0     0.0%
compute            bm-standard-e2-64-count                              ZyrR:PHX-AD-3                31            0     0.0%
compute            bm-standard1-36-count                                ZyrR:PHX-AD-1                55            0     0.0%
compute            bm-standard1-36-count                                ZyrR:PHX-AD-2                55            0     0.0%
compute            bm-standard1-36-count                                ZyrR:PHX-AD-3                55            0     0.0%
compute            bm-standard2-52-count                                ZyrR:PHX-AD-1                38            0     0.0%
compute            bm-standard2-52-count                                ZyrR:PHX-AD-2                38            0     0.0%
compute            bm-standard2-52-count                                ZyrR:PHX-AD-3                38            0     0.0%
compute            custom-image-count                                   REGION                      500            9     1.8%
compute            dense-io-a2-core-count                               ZyrR:PHX-AD-1                 0            0      N/A
compute            dense-io-a2-core-count                               ZyrR:PHX-AD-2                 0            0      N/A
compute            dense-io-a2-core-count                               ZyrR:PHX-AD-3                 0            0      N/A
compute            dense-io-a2-core-count-reservable                    ZyrR:PHX-AD-1                 0            0      N/A
compute            dense-io-a2-core-count-reservable                    ZyrR:PHX-AD-2                 0            0      N/A
compute            dense-io-a2-core-count-reservable                    ZyrR:PHX-AD-3                 0            0      N/A
compute            dense-io-a2-core-reserved-count                      ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            dense-io-a2-core-reserved-count                      ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            dense-io-a2-core-reserved-count                      ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            dense-io-a2-memory-count                             ZyrR:PHX-AD-1                 0            0      N/A
compute            dense-io-a2-memory-count                             ZyrR:PHX-AD-2                 0            0      N/A
compute            dense-io-a2-memory-count                             ZyrR:PHX-AD-3                 0            0      N/A
compute            dense-io-a2-memory-count-reservable                  ZyrR:PHX-AD-1                 0            0      N/A
compute            dense-io-a2-memory-count-reservable                  ZyrR:PHX-AD-2                 0            0      N/A
compute            dense-io-a2-memory-count-reservable                  ZyrR:PHX-AD-3                 0            0      N/A
compute            dense-io-a2-memory-reserved-count                    ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            dense-io-a2-memory-reserved-count                    ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            dense-io-a2-memory-reserved-count                    ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            dense-io-e4-core-count                               ZyrR:PHX-AD-1             2,000            0     0.0%
compute            dense-io-e4-core-count                               ZyrR:PHX-AD-2             2,000            0     0.0%
compute            dense-io-e4-core-count                               ZyrR:PHX-AD-3             2,000            0     0.0%
compute            dense-io-e4-core-count-reservable                    ZyrR:PHX-AD-1             2,000            0     0.0%
compute            dense-io-e4-core-count-reservable                    ZyrR:PHX-AD-2             2,000            0     0.0%
compute            dense-io-e4-core-count-reservable                    ZyrR:PHX-AD-3             2,000            0     0.0%
compute            dense-io-e4-core-reserved-count                      ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            dense-io-e4-core-reserved-count                      ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            dense-io-e4-core-reserved-count                      ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            dense-io-e4-memory-count                             ZyrR:PHX-AD-1            32,000            0     0.0%
compute            dense-io-e4-memory-count                             ZyrR:PHX-AD-2            32,000            0     0.0%
compute            dense-io-e4-memory-count                             ZyrR:PHX-AD-3            32,000            0     0.0%
compute            dense-io-e4-memory-count-reservable                  ZyrR:PHX-AD-1            32,000            0     0.0%
compute            dense-io-e4-memory-count-reservable                  ZyrR:PHX-AD-2            32,000            0     0.0%
compute            dense-io-e4-memory-count-reservable                  ZyrR:PHX-AD-3            32,000            0     0.0%
compute            dense-io-e4-memory-reserved-count                    ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            dense-io-e4-memory-reserved-count                    ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            dense-io-e4-memory-reserved-count                    ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            dense-io-e5-core-count                               ZyrR:PHX-AD-1             2,000            0     0.0%
compute            dense-io-e5-core-count                               ZyrR:PHX-AD-2             2,000            0     0.0%
compute            dense-io-e5-core-count                               ZyrR:PHX-AD-3             2,000            0     0.0%
compute            dense-io-e5-core-count-reservable                    ZyrR:PHX-AD-1             2,000            0     0.0%
compute            dense-io-e5-core-count-reservable                    ZyrR:PHX-AD-2             2,000            0     0.0%
compute            dense-io-e5-core-count-reservable                    ZyrR:PHX-AD-3             2,000            0     0.0%
compute            dense-io-e5-core-reserved-count                      ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            dense-io-e5-core-reserved-count                      ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            dense-io-e5-core-reserved-count                      ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            dense-io-e5-memory-count                             ZyrR:PHX-AD-1            32,000            0     0.0%
compute            dense-io-e5-memory-count                             ZyrR:PHX-AD-2            32,000            0     0.0%
compute            dense-io-e5-memory-count                             ZyrR:PHX-AD-3            32,000            0     0.0%
compute            dense-io-e5-memory-count-reservable                  ZyrR:PHX-AD-1            32,000            0     0.0%
compute            dense-io-e5-memory-count-reservable                  ZyrR:PHX-AD-2            32,000            0     0.0%
compute            dense-io-e5-memory-count-reservable                  ZyrR:PHX-AD-3            32,000            0     0.0%
compute            dense-io-e5-memory-reserved-count                    ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            dense-io-e5-memory-reserved-count                    ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            dense-io-e5-memory-reserved-count                    ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            dense-io1-core-count                                 ZyrR:PHX-AD-1                 0            0      N/A
compute            dense-io1-core-count                                 ZyrR:PHX-AD-2                 0            0      N/A
compute            dense-io1-core-count                                 ZyrR:PHX-AD-3                 0            0      N/A
compute            dense-io1-core-count-reservable                      ZyrR:PHX-AD-1                 0            0      N/A
compute            dense-io1-core-count-reservable                      ZyrR:PHX-AD-2                 0            0      N/A
compute            dense-io1-core-count-reservable                      ZyrR:PHX-AD-3                 0            0      N/A
compute            dense-io1-core-reserved-count                        ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            dense-io1-core-reserved-count                        ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            dense-io1-core-reserved-count                        ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            dense-io2-core-count                                 ZyrR:PHX-AD-1             2,000            0     0.0%
compute            dense-io2-core-count                                 ZyrR:PHX-AD-2             2,000            0     0.0%
compute            dense-io2-core-count                                 ZyrR:PHX-AD-3             2,000            0     0.0%
compute            dense-io2-core-count-reservable                      ZyrR:PHX-AD-1             2,000            0     0.0%
compute            dense-io2-core-count-reservable                      ZyrR:PHX-AD-2             2,000            0     0.0%
compute            dense-io2-core-count-reservable                      ZyrR:PHX-AD-3             2,000            0     0.0%
compute            dense-io2-core-reserved-count                        ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            dense-io2-core-reserved-count                        ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            dense-io2-core-reserved-count                        ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            dvh-dense-io2-core-count                             ZyrR:PHX-AD-1               208            0     0.0%
compute            dvh-dense-io2-core-count                             ZyrR:PHX-AD-2               208            0     0.0%
compute            dvh-dense-io2-core-count                             ZyrR:PHX-AD-3               208            0     0.0%
compute            dvh-optimized3-core-count                            ZyrR:PHX-AD-1               144            0     0.0%
compute            dvh-optimized3-core-count                            ZyrR:PHX-AD-2               144            0     0.0%
compute            dvh-optimized3-core-count                            ZyrR:PHX-AD-3               144            0     0.0%
compute            dvh-standard-a1-core-count                           ZyrR:PHX-AD-1                 0            0      N/A
compute            dvh-standard-a1-core-count                           ZyrR:PHX-AD-2                 0            0      N/A
compute            dvh-standard-a1-core-count                           ZyrR:PHX-AD-3                 0            0      N/A
compute            dvh-standard-e2-core-count                           ZyrR:PHX-AD-1                 0            0      N/A
compute            dvh-standard-e2-core-count                           ZyrR:PHX-AD-2                 0            0      N/A
compute            dvh-standard-e2-core-count                           ZyrR:PHX-AD-3                 0            0      N/A
compute            dvh-standard-e3-core-count                           ZyrR:PHX-AD-1               128            0     0.0%
compute            dvh-standard-e3-core-count                           ZyrR:PHX-AD-2               128            0     0.0%
compute            dvh-standard-e3-core-count                           ZyrR:PHX-AD-3               128            0     0.0%
compute            dvh-standard-e4-core-count                           ZyrR:PHX-AD-1               512            0     0.0%
compute            dvh-standard-e4-core-count                           ZyrR:PHX-AD-2               512            0     0.0%
compute            dvh-standard-e4-core-count                           ZyrR:PHX-AD-3               512            0     0.0%
compute            dvh-standard-e5-core-count                           ZyrR:PHX-AD-1               768            0     0.0%
compute            dvh-standard-e5-core-count                           ZyrR:PHX-AD-2               768            0     0.0%
compute            dvh-standard-e5-core-count                           ZyrR:PHX-AD-3               768            0     0.0%
compute            dvh-standard-e6-core-count                           ZyrR:PHX-AD-1                 0            0      N/A
compute            dvh-standard-e6-core-count                           ZyrR:PHX-AD-2                 0            0      N/A
compute            dvh-standard-e6-core-count                           ZyrR:PHX-AD-3                 0            0      N/A
compute            dvh-standard2-52-count                               ZyrR:PHX-AD-1               288            0     0.0%
compute            dvh-standard2-52-count                               ZyrR:PHX-AD-2               288            0     0.0%
compute            dvh-standard2-52-count                               ZyrR:PHX-AD-3               288            0     0.0%
compute            dvh-standard2-core-count                             ZyrR:PHX-AD-1            15,000            0     0.0%
compute            dvh-standard2-core-count                             ZyrR:PHX-AD-2            15,000            0     0.0%
compute            dvh-standard2-core-count                             ZyrR:PHX-AD-3            15,000            0     0.0%
compute            dvh-standard3-core-count                             ZyrR:PHX-AD-1               256            0     0.0%
compute            dvh-standard3-core-count                             ZyrR:PHX-AD-2               256            0     0.0%
compute            dvh-standard3-core-count                             ZyrR:PHX-AD-3               256            0     0.0%
compute            gpu-a10-core-count-reservable                        ZyrR:PHX-AD-1                32            0     0.0%
compute            gpu-a10-core-count-reservable                        ZyrR:PHX-AD-2                32            0     0.0%
compute            gpu-a10-core-count-reservable                        ZyrR:PHX-AD-3                32            0     0.0%
compute            gpu-a10-count                                        ZyrR:PHX-AD-1                32            0     0.0%
compute            gpu-a10-count                                        ZyrR:PHX-AD-2                32            2     6.2%
compute            gpu-a10-count                                        ZyrR:PHX-AD-3                32            0     0.0%
compute            gpu-a10-reserved-count                               ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            gpu-a10-reserved-count                               ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            gpu-a10-reserved-count                               ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            gpu-a100-v2-core-count-reservable                    ZyrR:PHX-AD-1                 0            0      N/A
compute            gpu-a100-v2-core-count-reservable                    ZyrR:PHX-AD-2                 0            0      N/A
compute            gpu-a100-v2-core-count-reservable                    ZyrR:PHX-AD-3                 0            0      N/A
compute            gpu-a100-v2-count                                    ZyrR:PHX-AD-1                 0            0      N/A
compute            gpu-a100-v2-count                                    ZyrR:PHX-AD-2                 0            0      N/A
compute            gpu-a100-v2-count                                    ZyrR:PHX-AD-3                 0            0      N/A
compute            gpu-a100-v2-reserved-count                           ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            gpu-a100-v2-reserved-count                           ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            gpu-a100-v2-reserved-count                           ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            gpu-b200-reserved-count                              ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            gpu-b200-reserved-count                              ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            gpu-b200-reserved-count                              ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            gpu-b4-core-count-reservable                         ZyrR:PHX-AD-1                 0            0      N/A
compute            gpu-b4-core-count-reservable                         ZyrR:PHX-AD-2                32            0     0.0%
compute            gpu-b4-core-count-reservable                         ZyrR:PHX-AD-3                 0            0      N/A
compute            gpu-b4-count                                         ZyrR:PHX-AD-1                 0            0      N/A
compute            gpu-b4-count                                         ZyrR:PHX-AD-2                32            0     0.0%
compute            gpu-b4-count                                         ZyrR:PHX-AD-3                 0            0      N/A
compute            gpu-b4-reserved-count                                ZyrR:PHX-AD-1      1,000,000,000            0     0.0%
compute            gpu-b4-reserved-count                                ZyrR:PHX-AD-2      1,000,000,000            0     0.0%
compute            gpu-b4-reserved-count                                ZyrR:PHX-AD-3      1,000,000,000            0     0.0%
compute            gpu-h100-core-count-reservable                       ZyrR:PHX-AD-1                 0            0      N/A
compute            gpu-h100-core-count-reservable                       ZyrR:PHX-AD-2                 0            0      N/A
compute            gpu-h100-core-count-reservable                       ZyrR:PHX-AD-3                 0            0      N/A
compute            gpu-h100-count                                       ZyrR:PHX-AD-1                 0            0      N/A
compute            gpu-h100-count                                       ZyrR:PHX-AD-2                 0            0      N/A
compute            gpu-h100-count                                       ZyrR:PHX-AD-3                 0            0      N/A
compute            gpu-h100-nc-core-count-reservable                    ZyrR:PHX-AD-1                 0            0      N/A
compute            gpu-h100-nc-core-count-reservable                    ZyrR:PHX-AD-2                 0            0      N/A
compute            gpu-h100-nc-core-count-reservable                    ZyrR:PHX-AD-3                 0            0      N/A
